N,hilos,prog,mean_us,sigma_us,n
64,1,mmClasicaFork,417,43,30
64,1,mmClasicaOpenMP,147,5,30
64,1,mmClasicaPosix,519,206,30
64,1,mmFilasOpenMP,141,8,30
64,2,mmClasicaFork,409,50,30
64,2,mmClasicaOpenMP,168,15,30
64,2,mmClasicaPosix,611,118,30
64,2,mmFilasOpenMP,175,22,30
64,4,mmClasicaFork,566,90,30
64,4,mmClasicaOpenMP,254,27,30
64,4,mmClasicaPosix,666,140,30
64,4,mmFilasOpenMP,243,46,30
64,8,mmClasicaFork,885,80,30
64,8,mmClasicaOpenMP,753,559,30
64,8,mmClasicaPosix,748,100,30
64,8,mmFilasOpenMP,504,233,30
128,1,mmClasicaFork,12410,194,30
128,1,mmClasicaOpenMP,1629,82,30
128,1,mmClasicaPosix,2162,73,30
128,1,mmFilasOpenMP,1339,47,30
128,2,mmClasicaFork,6514,396,30
128,2,mmClasicaOpenMP,923,63,30
128,2,mmClasicaPosix,2525,157,30
128,2,mmFilasOpenMP,812,71,30
128,4,mmClasicaFork,3671,274,30
128,4,mmClasicaOpenMP,649,81,30
128,4,mmClasicaPosix,2811,288,30
128,4,mmFilasOpenMP,579,68,30
128,8,mmClasicaFork,2844,400,30
128,8,mmClasicaOpenMP,813,429,30
128,8,mmClasicaPosix,3837,117,30
128,8,mmFilasOpenMP,670,110,30
256,1,mmClasicaFork,21038,1321,30
256,1,mmClasicaOpenMP,20285,1040,30
256,1,mmClasicaPosix,21559,1175,30
256,1,mmFilasOpenMP,13158,202,30
256,2,mmClasicaFork,11710,1694,30
256,2,mmClasicaOpenMP,11336,1457,30
256,2,mmClasicaPosix,15762,1754,30
256,2,mmFilasOpenMP,6800,95,30
256,4,mmClasicaFork,7930,819,30
256,4,mmClasicaOpenMP,7595,933,30
256,4,mmClasicaPosix,15578,644,30
256,4,mmFilasOpenMP,3673,216,30
256,8,mmClasicaFork,6021,730,30
256,8,mmClasicaOpenMP,5497,476,30
256,8,mmClasicaPosix,16035,950,30
256,8,mmFilasOpenMP,2620,846,30
512,1,mmClasicaFork,173244,7142,30
512,1,mmClasicaOpenMP,169230,3061,30
512,1,mmClasicaPosix,170992,1984,30
512,1,mmFilasOpenMP,111402,1236,30
512,2,mmClasicaFork,89666,2397,30
512,2,mmClasicaOpenMP,91274,8522,30
512,2,mmClasicaPosix,107396,12692,30
512,2,mmFilasOpenMP,57555,1644,30
512,4,mmClasicaFork,53837,5591,30
512,4,mmClasicaOpenMP,47934,1478,30
512,4,mmClasicaPosix,80324,7473,30
512,4,mmFilasOpenMP,33748,3183,30
512,8,mmClasicaFork,31332,1994,30
512,8,mmClasicaOpenMP,33024,2616,30
512,8,mmClasicaPosix,70130,1654,30
512,8,mmFilasOpenMP,19412,1662,30
